Code	Title	EOS	Mid	
LC224	Accounting and Finance	299	382
LC225	Marketing and Management	298	337
LC226	Enterprise and Innovation	216	298
LC233	Software Development	300	371
LC234	Interactive Digital Media	219	288
LC236	Internet Systems Development	298	319
LC239	Computer Networks and Systems Management	335	347
LC241	Construction Management	276	303
LC242	Property Valuation and Management	292	328
LC243	Quantity Surveying	281	360
LC248	Built Environment (Common Entry)	307	350
LC252	Civil Engineering Management	281	331
LC263	Clinical Technology	282	359
LC265	Forensic and Pharmaceutical Sciences	335	368
LC266	Drug and Medicinal Product Analysis	236	299
LC275	Electrical Engineering	288	340
LC288	Mechanical Engineering	307	360
LC289	Precision Engineering	280	369
LC292	Social Care Work	360	389
LC293	Business Studies with Travel and Tourism Management	299	326
LC294	Business Studies with Event Management	271	300
LC295	Business Studies with Sports Management	263	298
LC297	Community Development	217	269
LC320	Business	337	378
LC330	Business with Computing	298	326
LC340	Interior Design	298	349
LC362	Biotechnology and Biopharmaceutical Sciences	379	402
LC371	Creative Broadcast and Film Production	298	339
LC372	Music Technology and Production	321	369
LC374	Renewable and Electrical Energy Engineering	317	368
LC375	Industrial Automation & Robotic Systems	321	368
LC376	Electronic Engineering	308	346
LC380	Automotive Engineering and Transport Management	282	329
LC392	Beauty and Spa Management	217	318
LC393	Early Childhood Education & Care	260	309
LC401	Early Childhood Education & Care (Thurles)	298	387
LC402	Social Care Work (Thurles)	209	290
LC408	Environmental and Geographical Sciences (Thurles)	262	346
LC411	Marketing and Management (Thurles)	226	300
LC418	Computing - Games Design and Development (Thurles)	271	318
LC422	Sports Strength and Conditioning (Thurles)	288	333
LC434	Environmental Management in Agriculture (Thurles)	278	347
LC502	Game Art and Design (Clonmel, portfolio)	#838	950
LC517	Creative Media and Design (Clonmel)	229	273
LC518	Digital Animation Production (Clonmel, portfolio)	#816	962
LC612	Social Care Work (Ennis)	319	338
LC613	Early Childhood Education & Care (Ennis)	346	388	 
LM002	Arts (offered in conjunction with Mary Immaculate College)	329	388
LM020	Law and Accounting	436	476
LM026	Performing Arts (audition required)	#307	367
LM028	Criminal Justice	387	409
LM029	Law Plus	473	499
LM038	Psychology and Sociology	478	489
LM039	Journalism and New Media	388	430
LM040	European Studies	350	462
LM044	Applied Languages	404	473
LM050	Business Studies	419	455
LM056	International Business	511	543
LM058	Financial Mathematics	434	543
LM063	Technology Management	372	409
LM068	Food Science and Health	400	430
LM076	Product Design and Technology (portfolio required)	#402	466
LM077	Aeronautical Engineering	469	531
LM082	Construction Management and Engineering	368	404
LM089	Sport and Exercise Sciences	441	466
LM090	Physical Education with concurrent Teacher Education	498*	520
LM092	Science with Teacher Ed (Biology with Physics/Chemistry/Ag Science)	478	509
LM093	Equine Science	338	381
LM094	Materials and Architectural Technology with concurrent Teacher Education	405	433
LM095	Materials and Engineering Technology with concurrent Teacher Education	358	409
LM096	Science with Teacher Ed (Physical Sciences with Chemistry and Physics)	382	422
LM099	Architecture (portfolio required)	#419	473
LM100	Physiotherapy	565*	577
LM101	Medicine  - Graduate Entry (GAMSAT required)	#55*	57
LM102	Psychology	495	519
LM103	Paramedic Studies (B and C1 Drivers Licence)	#313	403
LM115	Chemical and Biochemical Engineering	456	520
LM116	Engineering (Biomedical/Civil/Design and Manufacture/Mechanical)	434	498
LM118	Electronic and Computer Engineering	401	498
LM121	Computer Science (Computer Systems/Games Dev/Mobile Comm Security)	352	420
LM122	Creative Media and Interaction Design (Digital Design/Music Media Tech)	330	430
LM123	Biological & Chemical Sciences (Biosci/Envir Sci/Ind Bio/IndPharma Chem)	412	455
LM124	Mathematics (Math Science/Maths and Physics/Economics and Math Scienc	427	521
LM125	Physics (Applied Physics/Mathematics and Physics)	405	509
LM150	General Nursing	440*	463
LM152	Mental Health Nursing	388	418
LM154	Intellectual Disability Nursing	381*	408
LM156	Midwifery	429	444	 
MU001	Theology and Arts	290	318
MU002	Theology	292	377
MH001	Education - Primary Teaching (Froebel)	496*	520
MH002	Education - Primary Teaching - Gaeltacht Applicants (Froebel)	#441*	
MH101	Arts	316	369
MH103	Music	#	367
MH106	Psychology - 3 years	495	499
MH107	Social Science	326	349
MH109	Media Studies	317	377
MH116	Community and Youth Work (Full-Time)	#	271
MH201	Science	350	392
MH202	Biotechnology	429	446
MH204	Physics with Astrophysics	420	488
MH206	Theoretical Physics and Mathematics	498	566
MH207	Data Science	434	466
MH208	Biological and Biomedical Sciences	451	476
MH209	Psychology (through Science) - 4 years	473	485
MH210	Pharmaceutical and Biomedical Chemistry	446	466
MH212	Science/Computer Science/Mathematics (with Education) - options	444	476
MH304	Engineering (Computer/Electronic/Communications)	371	423
MH305	Product Design	358	411
MH306	Robotics and Intelligent Devices	361	424
MH401	Finance (options)	352	392
MH402	Quantitative Finance	476	487
MH403	Accounting and Finance	402	432
MH404	Business (options)	400	429
MH405	Equine Business	357	398
MH407	Business and Accounting	401	420
MH411	Entrepreneurship	358	388
MH501	LLB Law - four year Single Major Law programme	451	476
MH502	Law (options)	410	442
MH601	Computer Science through Arts (options)	342	369
MH602	Computer Science through Science (options)	357	413
MH603	Computational Thinking	520	543
MH801	Early Childhood - Teaching and Learning (part-time)	347	358
MH802	Community and Youth Work (part-time, in service	#	
MH803	Local Studies or Community Studies (part-time, evening)- Mature Students	#		
AS001	Education, Home Economics and Biology - with concurrent Teacher Ed	456*	497
AS002	Education, Home Economics and Religious Ed - with concurrent Teacher Ed	400*	433
AS003	Education, Home Economics and Irish - with concurrent Teacher Ed	421	457
AS051	Nutrition, Food and Business Management	337	399
AS054	Home Economics	387	401
AS110	General Nursing	391*	409
AS130	Intellectual Disability Nursing	317	338	
SG141	Business	252	317
SG142	Business in International Marketing and Sales with French	270	388
SG144	Business in International Marketing and Sales with Spanish	280	388
SG146	Accounting	307	347
SG147	Sport with Business	269	316
SG148	Tourism with Event Management	246	282
SG149	Business in Finance and Investment	262	357
SG241	Performing Arts	279	348
SG242	Early Childhood Care and Education	278	318
SG243	Social Care Practice	297	338
SG244	Fine Art	#355	496
SG245	Creative Design	261	338
SG246	Computing	295	368
SG247	English and Psychology	308	336
SG248	Sociology and Politics	282	320
SG249	Writing and Literature	279	338
SG250	Application Design and User Experience	290	431
SG251	Computing (Smart Technologies)	303	391
SG252	Software Development	300	354
SG253	Computer Networks and Cloud Infrastructure	273	341
SG343	Quantity Surveying	261	302
SG346	Construction Project Management and Applied Technology	289	351
SG347	Architecture	309	357
SG441	Environmental Science	297	358
SG442	Occupational Safety and Health	289	330
SG443	Human Nutrition	357	419
SG444	Science (Undenominated)	308	369
SG445	Pharmaceutical Science with Drug Development	347	369
SG446	Applied Archaeology	289	290
SG447	Health Science and Physical Activity	316	363
SG448	Forensic Investigation and Analysis	306	348
SG449	Medical Biotechnology	329	352	
TL801	Animation Visual Effects and Motion Design	281	341
TL802	TV, Radio and New Media	306	356
TL803	Music Technology	264	288
TL810	Computing with Software Development	309	341
TL811	Computing with Games Development	310	334
TL812	Computing with Digital Media	369	369
TL815	Computing (Degree Award options)	308	378
TL823	Event Management (3 year programme)	291	346
TL831	Business Studies (Major Specialism in: Acctng or Mktg or Mgmnt)	307	372
TL842	Construction Management		
TL844	Agricultural Engineering	311	368
TL845	Civil Engineering	300	364
TL847	Manufacturing Engineering		
TL848	Agricultural Science	331	362
TL851	Wildlife Biology (Degree Award options)	310	362
TL855	Pharmaceutical Science (Degree Award options)	342	386
TL858	Veterinary Bioscience	326	369
TL871	Health and Leisure (Degree Award options)	303	346
TL872	Health and Leisure with Massage	288	357
TL873	Coaching and Sports Performance	282	336
TL880	Early Childhood Care and Education	307	347
TL881	Social Care	308	356
TL889	Counselling with Addiction - Mature applicants only	#	
TL890	General Nursing and Mature Applicants	407	431
TL891	Mental Health Nursing and Mature Applicants	367*	379 	
WD001	Applied Computing (options)	279	358
WD002	Science (options)	302	377
WD005	Health Sciences (options)	288	347
WD006	Exercise Sciences (options)	282	337
WD007	Engineering (options)	287	382
WD025	Construction Management and Engineering	269	327
WD027	Music	#290	317
WD048	Business (options)	278	357
WD084	Accounting	307	403
WD091	Hospitality Management	210	281
WD116	General Nursing	413	430
WD117	Psychiatric Nursing	361	382
WD120	Intellectual Disability Nursing	338	359
WD134	International Business	289	350
WD137	Design (Visual Communications)	253	373
WD140	Laws	290	352
WD144	Architecture	283	385
WD147	Pharmaceutical Science	298	363
WD148	Tourism Marketing	269	338
WD149	Early Childhood Studies	288	336
WD150	Criminal Justice Studies	271	311
WD152	Visual Art	253	323
WD161	Computer Forensics and Security	262	401
WD162	Quantity Surveying	260	320
WD163	Psychology	390	429
WD186	Sports Coaching and Performance	276	327
WD187	Social Science	271	321
WD191	Agricultural Science	378	421
WD192	Social Care Practice	279	323
WD193	Marketing and Digital Media	290	358
WD194	Culinary Arts	235	331
WD195	Architectural and Building Information Modelling Technology	266	305
WD200	Arts (options)	221	296
WD210	Software Systems Development	271	329
WD211	Creative Computing	275	322
WD212	Recreation and Sport Management	274	311
WD230	Mechanical and Manufacturing Engineering	273	348
